movieId,title,genres,imdbId,tmdbId,summary,score,cast,director,stars,popularity_score,num_critic_reviews,num_user_reviews
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,"Cutthroat Island: Directed by Renny Harlin. With Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin. A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.",5.7,Michael Frost Beckner|James Gorman|Bruce A. Evans,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,,80.0,217.0
16,Casino (1995),Crime|Drama,112641,524.0,"Casino: Directed by Martin Scorsese. With Robert De Niro, Sharon Stone, Joe Pesci, James Woods. A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",8.2,Robert De Niro|Sharon Stone|Joe Pesci,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,495.0,159.0,748.0
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,"Sense and Sensibility: Directed by Ang Lee. With James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet. Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",7.7,Emma Thompson|Kate Winslet|James Fleet,Ang Lee,Emma Thompson|Kate Winslet|James Fleet,,65.0,296.0
18,Four Rooms (1995),Comedy,113101,5.0,"Four Rooms: Directed by Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones. With Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna. Four interlocking tales that take place in a fading hotel on New Year's Eve.",6.7,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Allison Anders,Tim Roth|Antonio Banderas|Sammi Davis,,58.0,214.0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,"Ace Ventura: When Nature Calls: Directed by Steve Oedekerk. With Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi. Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.4,Jim Carrey|Ian McNeice|Simon Callow,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,,54.0,225.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,"Money Train: Directed by Joseph Ruben. With Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake. A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",5.7,Wesley Snipes|Woody Harrelson|Jennifer Lopez,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,,44.0,79.0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,"Get Shorty: Directed by Barry Sonnenfeld. With John Travolta, Gene Hackman, Rene Russo, Danny DeVito. A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",6.9,Gene Hackman|Rene Russo|Danny DeVito,Barry Sonnenfeld,Gene Hackman|Rene Russo|Danny DeVito,,104.0,180.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,"Copycat: Directed by Jon Amiel. With Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara. An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.",6.6,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,,69.0,198.0
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,"Assassins: Directed by Richard Donner. With Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov. Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.",6.3,Sylvester Stallone|Antonio Banderas|Julianne Moore,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,,72.0,120.0
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,"Powder: Directed by Victor Salva. With Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum. An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.",6.6,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,,36.0,181.0
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,"Leaving Las Vegas: Directed by Mike Figgis. With Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis. Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.5,Nicolas Cage|Elisabeth Shue|Julian Sands,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,,110.0,394.0
26,Othello (1995),Drama,114057,16420.0,"Othello: Directed by Oliver Parker. With Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker. The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",6.9,Laurence Fishburne|Kenneth Branagh|Irène Jacob,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob,,28.0,53.0
27,Now and Then (1995),Children|Drama,114011,9263.0,"Now and Then: Directed by Lesli Linka Glatter. With Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith. Four 12-year-old girls grow up together during an eventful small-town summer in 1970.",6.8,Christina Ricci|Demi Moore|Rosie O'Donnell,Lesli Linka Glatter,Christina Ricci|Demi Moore|Rosie O'Donnell,,24.0,141.0
28,Persuasion (1995),Drama|Romance,114117,17015.0,"Persuasion: Directed by Roger Michell. With Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave. Theatrical film of Persuasion with Ciaran Hinds & Amanda Root. Directed by Roger Michell.",7.6,Amanda Root|Ciarán Hinds|Susan Fleetwood,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,,31.0,109.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,"The City of Lost Children: Directed by Marc Caro, Jean-Pierre Jeunet. With Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon. A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.5,Gilles Adrien|Jean-Pierre Jeunet|Marc Caro,Marc Caro,Ron Perlman|Daniel Emilfork|Judith Vittet,,63.0,266.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,"Yao a yao, yao dao wai po qiao: Directed by Yimou Zhang. With Gong Li, Baotian Li, Xiaoxiao Wang, Xuejian Li. A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.",7.1,Gong Li|Baotian Li|Xiaoxiao Wang,Yimou Zhang,Gong Li|Baotian Li|Xiaoxiao Wang,,34.0,40.0
31,Dangerous Minds (1995),Drama,112792,9909.0,"Dangerous Minds: Directed by John N. Smith. With Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett. An ex-Marine turned teacher struggles to connect with her students in an inner city school.",6.5,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,,45.0,113.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,"12 Monkeys: Directed by Terry Gilliam. With Joseph Melito, Bruce Willis, Jon Seda, Michael Chance. In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.0,Bruce Willis|Madeleine Stowe|Brad Pitt,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,,212.0,756.0
34,Babe (1995),Children|Drama,112431,9598.0,"Babe: Directed by Chris Noonan. With Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving. Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.",6.9,James Cromwell|Magda Szubanski|Christine Cavanaugh,Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh,,57.0,249.0
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,"Dead Man Walking: Directed by Tim Robbins. With Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry. A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.5,Susan Sarandon|Sean Penn|Robert Prosky,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,,72.0,238.0
38,It Takes Two (1995),Children|Comedy,113442,33689.0,"It Takes Two: Directed by Andy Tennant. With Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen. Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",5.9,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,,23.0,66.0
39,Clueless (1995),Comedy|Romance,112697,9603.0,"Clueless: Directed by Amy Heckerling. With Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd. Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.9,Alicia Silverstone|Stacey Dash|Brittany Murphy,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,716.0,110.0,400.0
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,"Cry, the Beloved Country: Directed by Darrell Roodt. With James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton. A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",6.8,Richard Harris|James Earl Jones|Vusi Kunene,Darrell Roodt,Richard Harris|James Earl Jones|Vusi Kunene,,15.0,29.0
41,Richard III (1995),Drama|War,114279,31174.0,"Richard III: Directed by Richard Loncraine. With Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson. The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.",7.3,Ian McKellen|Richard Loncraine|Richard Eyre,Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen,,59.0,97.0
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,"Dead Presidents: Directed by Albert Hughes, Allen Hughes. With Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez. A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.9,Allen Hughes|Albert Hughes|Michael Henry Brown,Albert Hughes,Larenz Tate|Keith David|Chris Tucker,,44.0,111.0
43,Restoration (1995),Drama,114272,35196.0,"Restoration: Directed by Michael Hoffman. With Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker. The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.6,Robert Downey Jr.|Sam Neill|David Thewlis,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis,,22.0,54.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,"Mortal Kombat: Directed by Paul W.S. Anderson. With Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa. Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.",5.8,Christopher Lambert|Robin Shou|Linden Ashby,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby,,102.0,428.0
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,"To Die For: Directed by Gus Van Sant. With Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck. A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.",6.8,Nicole Kidman|Matt Dillon|Joaquin Phoenix,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,,69.0,200.0
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,"How to Make an American Quilt: Directed by Jocelyn Moorhouse. With Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin. Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.",6.3,Winona Ryder|Ellen Burstyn|Anne Bancroft,Jocelyn Moorhouse,Winona Ryder|Ellen Burstyn|Anne Bancroft,,33.0,53.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,"Seven: Directed by David Fincher. With Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt. Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,Morgan Freeman|Brad Pitt|Kevin Spacey,David Fincher,Morgan Freeman|Brad Pitt|Kevin Spacey,218.0,183.0,
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,"Pocahontas: Directed by Mike Gabriel, Eric Goldberg. With Joe Baker, Christian Bale, Irene Bedard, Billy Connolly. An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.",6.7,Carl Binder|Susannah Grant|Philip LaZebnik,Mike Gabriel,Mel Gibson|Linda Hunt|Christian Bale,,95.0,293.0
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,"When Night Is Falling: Directed by Patricia Rozema. With Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox. An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.5,Pascale Bussières|Rachael Crawford|Henry Czerny,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,,20.0,62.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,"The Usual Suspects: Directed by Bryan Singer. With Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak. A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",8.5,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,Bryan Singer,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,558.0,152.0,
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,"Mighty Aphrodite: Directed by Woody Allen. With Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena. When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7.0,Woody Allen|Mira Sorvino|Pamela Blair,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair,,57.0,101.0
53,Lamerica (1994),Adventure|Drama,110299,49133.0,"Lamerica: Directed by Gianni Amelio. With Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli. Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.",7.4,Enrico Lo Verso|Michele Placido|Piro Milkani,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,,20.0,14.0
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,"The Big Green: Directed by Holly Goldberg Sloan. With Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry. A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",5.5,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders,,13.0,34.0
55,Georgia (1995),Drama,113158,97406.0,"Georgia: Directed by Ulu Grosbard. With Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich. Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.",6.5,Jennifer Jason Leigh|Mare Winningham|Ted Levine,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,,23.0,42.0
57,Home for the Holidays (1995),Drama,113321,9089.0,"Home for the Holidays: Directed by Jodie Foster. With Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning. After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",6.5,Holly Hunter|Anne Bancroft|Robert Downey Jr.,Jodie Foster,Holly Hunter|Anne Bancroft|Robert Downey Jr.,,57.0,118.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,"Il postino: Directed by Michael Radford, Massimo Troisi. With Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa. A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",7.8,Antonio Skármeta|Furio Scarpelli|Giacomo Scarpelli,Michael Radford,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,,39.0,137.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,"The Indian in the Cupboard: Directed by Frank Oz. With Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins. Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",6.0,Hal Scardino|Litefoot|Lindsay Crouse,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,,28.0,62.0
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,"Eye for an Eye: Directed by John Schlesinger. With Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle. When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.1,Sally Field|Kiefer Sutherland|Ed Harris,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris,,39.0,109.0
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,"Mr. Holland's Opus: Directed by Stephen Herek. With Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis. A frustrated composer finds fulfillment as a high school music teacher.",7.3,Richard Dreyfuss|Glenne Headly|Jay Thomas,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas,,40.0,191.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood: Directed by Paris Barclay. With Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer. A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",6.5,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans,Paris Barclay,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans,,35.0,151.0
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,"Two If by Sea: Directed by Bill Bennett. With Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto. A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.",5.2,Sandra Bullock|Denis Leary|Stephen Dillane,Bill Bennett,Sandra Bullock|Denis Leary|Stephen Dillane,,19.0,40.0
65,Bio-Dome (1996),Comedy,115683,9536.0,"Bio-Dome: Directed by Jason Bloom. With William Atherton, Denise Dowse, Dara Tomanovich, Kevin West. Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,Adam Leff|Mitchell Peck|Jason Blumenthal,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton,,33.0,166.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,"Lawnmower Man 2: Beyond Cyberspace: Directed by Farhad Mann. With Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget. After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is reconstructed and he is hooked back online through virtual reality to work for Walker. Several years later, in a dystopian Los Angeles, Peter Parkette (Austin O'Brien), is now a teenager and a computer hacker living in the subways with a group of runaway teenagers after the events of the first film. Jobe finds Peter online and asks him to find Benjamin Trace (Patrick Bergin), the founder of virtual reality. After finding Trace and bringing him to his hideout, Peter discovers Jobe is looking to start a new world order, using Walker's technology. Now, Trace, Peter, Trace's former lover Cori (Ely Pouget), and Peter's friends, are on a race against time to stop Jobe and Walker from enslaving humanity through virtual reality.",2.5,Patrick Bergin|Matt Frewer|Austin O'Brien,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien,,58.0,75.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,"Gazon maudit: Directed by Josiane Balasko. With Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado. After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,Victoria Abril|Josiane Balasko|Alain Chabat,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat,,21.0,41.0
69,Friday (1995),Comedy,113118,10634.0,"Friday: Directed by F. Gary Gray. With Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr.. It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",7.2,Ice Cube|Chris Tucker|Nia Long,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long,,29.0,228.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,"From Dusk Till Dawn: Directed by Robert Rodriguez. With George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis. Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",7.2,Harvey Keitel|George Clooney|Juliette Lewis,Robert Rodriguez,Harvey Keitel|George Clooney|Juliette Lewis,259.0,188.0,730.0
